yyyyq,Index,D3,D12,E3,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
19794,107.94,NaN,5.700,3.790,14.860,1.0619500680,0.1204,0.1074,0.1206,0.1012,0.0023880570,0.0103823171,0.0294631576,0.0289548709,-0.0502325184,-0.0788330214,0.0046173222,-0.0003711309,0.0405598303,0.0017386947,-0.0124299969
19801,102.09,NaN,5.890,3.940,15.290,1.0937321031,0.1520,0.1296,0.1445,0.1239,0.0016708170,0.0117867725,0.0331970965,0.0427559492,-0.1451433348,-0.1321251434,0.0084259174,-0.0004846084,0.0403701665,-0.0396864096,-0.0524321530
19802,114.24,NaN,6.020,3.510,14.940,0.9901834270,0.0707,0.1058,0.1271,0.1006,-0.0047202420,0.0152280936,0.0239388786,0.0323516233,0.2436822412,0.2422701210,0.0056263507,0.0004203133,0.0377419187,0.1330380560,0.1177429936
19803,125.46,NaN,6.140,3.400,14.640,0.9216876515,0.1027,0.1202,0.1370,0.1185,-0.0147234540,0.0239097953,0.0227956647,0.0164951388,-0.1126185956,-0.1071648145,0.0057283949,0.0007654027,0.0375447742,0.1128258175,0.0990078387
19804,135.76,NaN,6.240,3.970,14.820,0.8915030239,0.1549,0.1321,0.1514,0.1199,-0.0118900550,0.0269436677,0.0338391871,0.0265015676,0.0180539824,0.0102201397,0.0075612430,0.0010201575,0.0378569437,0.0950887397,0.0822800347
19811,136.00,NaN,6.320,3.700,14.580,0.9249205574,0.1336,0.1333,0.1534,0.1248,-0.0078523800,0.0280847932,0.0357604603,0.0258147492,-0.0181925404,-0.0096803143,0.0052042879,0.0004488745,0.0379779576,0.0143937447,0.0021558945
19812,131.21,NaN,6.430,3.940,15.010,0.9504749816,0.1473,0.1375,0.1580,0.1304,-0.0042100690,0.0280065737,0.0370359290,0.0232953784,-0.0108504469,-0.0197260938,0.0027492332,-0.0000570271,0.0382448155,-0.0220165002,-0.0340173510
19813,116.18,NaN,6.550,3.660,15.270,1.0923786442,0.1470,0.1549,0.1692,0.1482,-0.0094186360,0.0214963864,0.0373991278,0.0293400864,-0.0859856274,-0.0889153097,0.0056891005,-0.0005421827,0.0386623804,-0.1025694881,-0.1145896372
19814,122.55,NaN,6.650,4.060,15.360,1.0611428571,0.1085,0.1423,0.1655,0.1334,-0.0107441920,0.0120069048,0.0292304810,0.0078663720,0.1474914114,0.1166478079,0.0044880526,-0.0012794664,0.0390614715,0.0684212483,0.0540837846
19821,111.96,NaN,6.740,3.150,14.810,1.1857505743,0.1268,0.1458,0.1682,0.1387,-0.0079134480,0.0056059177,0.0318632649,0.0056719430,0.0465123339,0.0490451841,0.0062353902,-0.0018891454,0.0375924461,-0.0713816779,-0.0852000860
