yyyyq,Index,dpr,earning_price_ratio,devident_payout_ratio,svar,b2m,ntis,tbl,lty,ltr,tms,dft,drs,infl,ik,stock_premium
19682.0,99.58,3.5056879538114414,2.883566287274844,2.883566287274844,0.0024936106,0.5307418133,0.0120487856,0.0552,0.0534,0.050720855,-0.001799999999999996,0.007900000000000004,-0.030407707600000004,0.0116476875,0.0384159123,0.0007928133588069892
19683.0,102.67,3.5229573417895956,2.898096069095782,2.898096069095782,0.0013412539999999998,0.5091954391,0.0182862723,0.0519,0.0531,0.0180996984,0.0011999999999999997,0.008199999999999999,0.0317091286,0.010557093,0.0384078646,-0.00010688326900750063
19684.0,103.86,3.5213662768170666,2.892106363708373,2.892106363708373,0.000865344,0.5049006623,0.0319477245,0.0596,0.0598,-0.07460217940000001,0.0001999999999999988,0.007800000000000001,0.013954734100000005,0.012341600800000001,0.0390149605,0.0014711710602927017
19691.0,101.51,3.4887552043052397,2.8588570540529936,2.8588570540529936,0.0017439976000000002,0.557040236,0.0394182212,0.0602,0.062,-0.0155030065,0.001800000000000003,0.006599999999999995,-0.006772945500000002,0.0149910972,0.0396135499,-0.0009104782351689496
19692.0,97.71,3.4409709034041898,2.8172731111161164,2.8172731111161164,0.0017295466,0.5967773337,0.0451398591,0.0644,0.0623,0.0128281048,-0.0020999999999999977,0.007199999999999998,0.0007465836000000014,0.0156951208,0.0394705334,-0.0004072543035308542
19693.0,93.12,3.3864865311455863,2.760632986319633,2.760632986319633,0.0041154721,0.6408884625,0.048317048099999996,0.0709,0.0677,-0.0522047155,-0.0032000000000000084,0.009099999999999997,0.0263403399,0.0136424726,0.039964801,-0.002794948787285225
19694.0,92.06,3.371868510790275,2.7680368557048096,2.7680368557048096,0.0024264145,0.6510820131,0.0342605972,0.0782,0.0687,0.0044361213,-0.009500000000000008,0.009299999999999989,-0.0523653158,0.015247153400000001,0.0391496839,-0.002142019323919185
19701.0,89.63,3.341958497480081,2.7675806432176717,2.7675806432176717,0.0030893484,0.6903267691,0.0358458897,0.0663,0.0661,0.049292688200000004,-0.00019999999999999185,0.007900000000000004,0.0007262774999999971,0.0141375098,0.0383700984,-0.0034667265027780864
19702.0,72.72,3.1297352530771376,2.578238589580219,2.578238589580219,0.0124184424,0.7933814171,0.0422212725,0.0668,0.0709,-0.041754884,0.004100000000000006,0.0076999999999999985,0.0009582947000000008,0.015678659299999998,0.0376617667,0.0020564859870187066
19703.0,84.21,3.2732927622451475,2.75434970395919,2.75434970395919,0.0050715458000000005,0.7129147605,0.037964517999999996,0.0612,0.068,0.053422008099999994,0.006800000000000007,0.012999999999999998,0.02755356030000001,0.0102975532,0.0373780689,-0.0014062560947512171
19704.0,92.15,3.3855846822944415,2.888312024933154,2.888312024933154,0.002464049,0.6464263577,0.031536473599999996,0.0487,0.0648,0.058372172400000005,0.016099999999999996,0.014800000000000008,0.02886169179999999,0.0135852098,0.0355365775,0.0003199779543678772
19711.0,100.31,3.4800942999857396,2.9557679890008464,2.9557679890008464,0.0014852038,0.6338113825,0.0263900615,0.0338,0.0593,0.0878360166,0.025500000000000002,0.012499999999999997,-0.047005092299999995,0.005870025500000001,0.0354978683,0.004272574466184826
19712.0,99.7,3.4739945860581383,2.930692373614239,2.930692373614239,0.001771371,0.6432210427,0.0271517358,0.0475,0.0641,-0.04432378,0.016600000000000004,0.011099999999999999,0.015283015600000002,0.0141553236,0.03563525,0.004037845395386158
19713.0,98.34,3.4635012649983103,2.896491728037949,2.896491728037949,0.0034939209999999997,0.6460848296,0.027800351299999998,0.0469,0.0598,0.0716662225,0.012900000000000002,0.01150000000000001,-0.029642889800000002,0.005754904599999999,0.035405985699999996,0.0009239814919463091
19714.0,102.09,3.5041772155818185,2.88538860234042,2.88538860234042,0.003711175,0.6439002471,0.0338925733,0.0401,0.0597,0.0163739646,0.019600000000000006,0.011300000000000004,0.0378031691,0.0073539816,0.0358054485,0.004430406073787835
19721.0,107.2,3.5530186870375955,2.9151156777728815,2.9151156777728815,0.0013237135,0.6459019879,0.031749177,0.0373,0.0613,-0.0057754854000000005,0.024,0.009999999999999995,0.0155578507,0.007297604300000001,0.0365985882,0.005413200113432836
19722.0,107.14,3.552458828853708,2.8873894630483035,2.8873894630483035,0.0015177951999999998,0.6540154785,0.034324265,0.0391,0.0607,0.0230793761,0.021599999999999994,0.0097,-0.010157354,0.008053509,0.0367885932,0.0057101876107522875
19723.0,110.55,3.5740657958123547,2.890643165144404,2.890643165144404,0.0016561977,0.6373850011,0.0329921092,0.0466,0.0606,0.0160587701,0.013999999999999999,0.0087,-0.002705483100000001,0.009582751,0.036920741,0.002946671624332882
19724.0,118.05,3.6205362359327014,2.911690145829652,2.911690145829652,0.0018638954,0.5956745946,0.0342805005,0.0507,0.0599,0.0225633296,0.0092,0.008499999999999994,0.0122740598,0.008703522,0.038381202999999996,0.003198746434646337
19731.0,111.52,3.5541830302154604,2.797281334830153,2.797281334830153,0.0033377628999999996,0.6760181281000001,0.0367074041,0.0609,0.0686,-0.0227970485,0.007699999999999992,0.00739999999999999,0.0241706226,0.0195649068,0.0396587846,0.0026417842972740295
19732.0,104.26,3.471314449535722,2.6686487431692867,2.6686487431692867,0.0067596637,0.7209743078,0.0389373757,0.0719,0.071,-0.0080358086,-0.0009000000000000119,0.007599999999999996,0.004599831799999999,0.0199640048,0.04067508,0.003199483105275274
19733.0,108.43,3.4891566140951187,2.6461840199665376,2.6461840199665376,0.0038984545,0.6788089959,0.0343002773,0.0829,0.0703,0.0257195716,-0.0126,0.009999999999999995,-0.0043016578999999985,0.0232443706,0.040717524399999996,-0.0027524729194042287
19734.0,97.55,3.356589635447005,2.481120898093105,2.481120898093105,0.011072830300000001,0.7555884634000001,0.0128410744,0.0745,0.0726,-0.0054164637,-0.001899999999999999,0.008000000000000007,-0.002345238100000001,0.0220583225,0.04040391,0.004681045220809841
19741.0,93.98,3.3018134046050367,2.419623566578059,2.419623566578059,0.0069811136,0.8151840129000001,0.010207058599999999,0.0796,0.0783,-0.039568221699999996,-0.0013000000000000095,0.006099999999999994,0.004598678099999996,0.033026039900000005,0.0397483767,0.0031510112890615026
19742.0,86.0,3.1930494253083017,2.2864371065860634,2.2864371065860634,0.006128292,0.8601587717,0.0078160283,0.079,0.0812,-0.0088710904,0.0021999999999999936,0.008000000000000007,-0.0429041552,0.0264299066,0.039085189,0.007941449953488375
